time,canopy.ca_conc,canopy.lai,leaf.d13c,apar,A,d13c,Acg_lim,Ajg_lim,Apg_lim,cb,ci,cc,gb,gs,gi,g,rd,m,G_dir,k_dir,k_diff,k_dirprime,k_diffprime,k_vcmax,lscattering,alb_dir,alb_diff,alb_dir_can,alb_diff_can
        1878,      289.55,           3,f_d13c_lin,    690.1394,    15.41325,    24.58371,           0,    0.000000,           0,           0,    23.14464,    23.14464,         Inf,   0.4026223,         Inf,   0.4026223,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1879,      289.77,           3,f_d13c_lin,    690.1394,    15.42484,    24.58371,           0,    0.000000,           0,           0,    23.16223,    23.16223,         Inf,   0.4026193,         Inf,   0.4026193,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1880,      290.00,           3,f_d13c_lin,    690.1394,    15.43695,    24.58371,           0,    0.000000,           0,           0,    23.18062,    23.18062,         Inf,   0.4026161,         Inf,   0.4026161,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1881,      290.24,           3,f_d13c_lin,    690.1394,    15.44958,    24.58372,           0,    0.000000,           0,           0,    23.19981,    23.19981,         Inf,   0.4026126,         Inf,   0.4026126,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1882,      290.51,           3,f_d13c_lin,    690.1394,    15.46379,    24.58372,           0,    0.000000,           0,           0,    23.22140,    23.22140,         Inf,   0.4026085,         Inf,   0.4026085,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1883,      290.80,           3,f_d13c_lin,    690.1394,    15.47904,    24.58373,           0,    0.000000,           0,           0,    23.24458,    23.24458,         Inf,   0.4026040,         Inf,   0.4026040,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1884,      291.13,           3,f_d13c_lin,    690.1394,    15.49638,    24.58373,           0,    0.000000,           0,           0,    23.27097,    23.27097,         Inf,   0.4025987,         Inf,   0.4025987,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1885,      291.48,           3,f_d13c_lin,    690.1394,    15.51476,    24.58374,           0,    0.000000,           0,           0,    23.29895,    23.29895,         Inf,   0.4025928,         Inf,   0.4025928,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1886,      291.86,           3,f_d13c_lin,    690.1394,    15.53471,    24.58375,           0,    0.000000,           0,           0,    23.32934,    23.32934,         Inf,   0.4025861,         Inf,   0.4025861,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1887,      292.25,           3,f_d13c_lin,    690.1394,    15.55517,    24.58375,           0,    0.000000,           0,           0,    23.36052,    23.36052,         Inf,   0.4025790,         Inf,   0.4025790,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1888,      292.65,           3,f_d13c_lin,    690.1394,    15.57614,    24.58376,           0,    0.000000,           0,           0,    23.39250,    23.39250,         Inf,   0.4025713,         Inf,   0.4025713,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1889,      293.05,           3,f_d13c_lin,    690.1394,    15.59710,    24.58377,           0,    0.000000,           0,           0,    23.42449,    23.42449,         Inf,   0.4025634,         Inf,   0.4025634,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1890,      293.46,           3,f_d13c_lin,    690.1394,    15.61857,    24.58378,           0,    0.000000,           0,           0,    23.45727,    23.45727,         Inf,   0.4025549,         Inf,   0.4025549,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1891,      293.86,           3,f_d13c_lin,    690.1394,    15.63950,    24.58379,           0,    0.000000,           0,           0,    23.48926,    23.48926,         Inf,   0.4025464,         Inf,   0.4025464,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1892,      294.25,           3,f_d13c_lin,    690.1394,    15.65989,    24.58380,           0,    0.000000,           0,           0,    23.52044,    23.52044,         Inf,   0.4025377,         Inf,   0.4025377,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1893,      294.62,           3,f_d13c_lin,    690.1394,    15.67922,    24.58381,           0,    0.000000,           0,           0,    23.55003,    23.55003,         Inf,   0.4025292,         Inf,   0.4025292,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
