time,leaf.ca_conc,leaf.d13c,leaf.gstar,A,Acg,Ajg,Apg,cc,ci,ca,rd,lim,gi,gs,gb,g,d13c
        1874,      288.77,f_d13c_lin,f_gstar_f1980,    9.642486,    12.11573,    16.68872,    29.14535,    22.84609,    22.84609,    29.25962,        0.75,           2,         Inf,   0.2437410,         Inf,   0.2437410,    24.38864
        1875,      288.97,f_d13c_lin,f_gstar_f1980,    9.649132,    12.12208,    16.69128,    29.14200,    22.86192,    22.86192,    29.27989,        0.75,           2,         Inf,   0.2437403,         Inf,   0.2437403,    24.38864
        1876,      289.16,f_d13c_lin,f_gstar_f1980,    9.655444,    12.12812,    16.69371,    29.13883,    22.87695,    22.87695,    29.29914,        0.75,           2,         Inf,   0.2437395,         Inf,   0.2437395,    24.38864
        1877,      289.35,f_d13c_lin,f_gstar_f1980,    9.661754,    12.13416,    16.69613,    29.13566,    22.89198,    22.89198,    29.31839,        0.75,           2,         Inf,   0.2437386,         Inf,   0.2437386,    24.38864
        1878,      289.55,f_d13c_lin,f_gstar_f1980,    9.668394,    12.14051,    16.69868,    29.13234,    22.90781,    22.90781,    29.33865,        0.75,           2,         Inf,   0.2437377,         Inf,   0.2437377,    24.38864
        1879,      289.77,f_d13c_lin,f_gstar_f1980,    9.675695,    12.14749,    16.70149,    29.12868,    22.92521,    22.92521,    29.36095,        0.75,           2,         Inf,   0.2437366,         Inf,   0.2437366,    24.38864
        1880,      290.00,f_d13c_lin,f_gstar_f1980,    9.683326,    12.15479,    16.70441,    29.12486,    22.94341,    22.94341,    29.38425,        0.75,           2,         Inf,   0.2437354,         Inf,   0.2437354,    24.38864
        1881,      290.24,f_d13c_lin,f_gstar_f1980,    9.691285,    12.16240,    16.70746,    29.12089,    22.96240,    22.96240,    29.40857,        0.75,           2,         Inf,   0.2437341,         Inf,   0.2437341,    24.38865
        1882,      290.51,f_d13c_lin,f_gstar_f1980,    9.700235,    12.17096,    16.71089,    29.11643,    22.98376,    22.98376,    29.43593,        0.75,           2,         Inf,   0.2437326,         Inf,   0.2437326,    24.38865
        1883,      290.80,f_d13c_lin,f_gstar_f1980,    9.709844,    12.18015,    16.71456,    29.11165,    23.00671,    23.00671,    29.46531,        0.75,           2,         Inf,   0.2437308,         Inf,   0.2437308,    24.38865
        1884,      291.13,f_d13c_lin,f_gstar_f1980,    9.720772,    12.19061,    16.71874,    29.10622,    23.03282,    23.03282,    29.49875,        0.75,           2,         Inf,   0.2437286,         Inf,   0.2437286,    24.38865
        1885,      291.48,f_d13c_lin,f_gstar_f1980,    9.732356,    12.20169,    16.72316,    29.10048,    23.06051,    23.06051,    29.53421,        0.75,           2,         Inf,   0.2437261,         Inf,   0.2437261,    24.38865
        1886,      291.86,f_d13c_lin,f_gstar_f1980,    9.744926,    12.21371,    16.72794,    29.09427,    23.09058,    23.09058,    29.57271,        0.75,           2,         Inf,   0.2437233,         Inf,   0.2437233,    24.38866
        1887,      292.25,f_d13c_lin,f_gstar_f1980,    9.757818,    12.22604,    16.73285,    29.08791,    23.12144,    23.12144,    29.61223,        0.75,           2,         Inf,   0.2437202,         Inf,   0.2437202,    24.38866
        1888,      292.65,f_d13c_lin,f_gstar_f1980,    9.771032,    12.23868,    16.73787,    29.08141,    23.15309,    23.15309,    29.65276,        0.75,           2,         Inf,   0.2437168,         Inf,   0.2437168,    24.38866
        1889,      293.05,f_d13c_lin,f_gstar_f1980,    9.784237,    12.25131,    16.74288,    29.07493,    23.18474,    23.18474,    29.69329,        0.75,           2,         Inf,   0.2437132,         Inf,   0.2437132,    24.38867
        1890,      293.46,f_d13c_lin,f_gstar_f1980,    9.797764,    12.26425,    16.74800,    29.06831,    23.21718,    23.21718,    29.73483,        0.75,           2,         Inf,   0.2437093,         Inf,   0.2437093,    24.38867
        1891,      293.86,f_d13c_lin,f_gstar_f1980,    9.810951,    12.27686,    16.75299,    29.06187,    23.24883,    23.24883,    29.77536,        0.75,           2,         Inf,   0.2437054,         Inf,   0.2437054,    24.38867
        1892,      294.25,f_d13c_lin,f_gstar_f1980,    9.823801,    12.28916,    16.75784,    29.05561,    23.27969,    23.27969,    29.81488,        0.75,           2,         Inf,   0.2437013,         Inf,   0.2437013,    24.38868
        1893,      294.62,f_d13c_lin,f_gstar_f1980,    9.835984,    12.30081,    16.76244,    29.04969,    23.30897,    23.30897,    29.85237,        0.75,           2,         Inf,   0.2436973,         Inf,   0.2436973,    24.38868
        1894,      294.98,f_d13c_lin,f_gstar_f1980,    9.847830,    12.31214,    16.76690,    29.04395,    23.33745,    23.33745,    29.88885,        0.75,           2,         Inf,   0.2436932,         Inf,   0.2436932,    24.38869
        1895,      295.30,f_d13c_lin,f_gstar_f1980,    9.858354,    12.32221,    16.77086,    29.03886,    23.36277,    23.36277,    29.92127,        0.75,           2,         Inf,   0.2436894,         Inf,   0.2436894,    24.38869
        1896,      295.60,f_d13c_lin,f_gstar_f1980,    9.868216,    12.33164,    16.77457,    29.03410,    23.38651,    23.38651,    29.95167,        0.75,           2,         Inf,   0.2436858,         Inf,   0.2436858,    24.38869
        1897,      295.86,f_d13c_lin,f_gstar_f1980,    9.876759,    12.33981,    16.77777,    29.02998,    23.40709,    23.40709,    29.97801,        0.75,           2,         Inf,   0.2436825,         Inf,   0.2436825,    24.38870
        1898,      296.11,f_d13c_lin,f_gstar_f1980,    9.884969,    12.34766,    16.78085,    29.02603,    23.42687,    23.42687,    30.00335,        0.75,           2,         Inf,   0.2436793,         Inf,   0.2436793,    24.38870
        1899,      296.34,f_d13c_lin,f_gstar_f1980,    9.892520,    12.35489,    16.78368,    29.02240,    23.44507,    23.44507,    30.02665,        0.75,           2,         Inf,   0.2436763,         Inf,   0.2436763,    24.38870
        1900,      296.56,f_d13c_lin,f_gstar_f1980,    9.899740,    12.36179,    16.78638,    29.01894,    23.46248,    23.46248,    30.04894,        0.75,           2,         Inf,   0.2436734,         Inf,   0.2436734,    24.38871
        1901,      296.80,f_d13c_lin,f_gstar_f1980,    9.907613,    12.36932,    16.78933,    29.01517,    23.48147,    23.48147,    30.07326,        0.75,           2,         Inf,   0.2436701,         Inf,   0.2436701,    24.38871
        1902,      297.04,f_d13c_lin,f_gstar_f1980,    9.915483,    12.37685,    16.79227,    29.01140,    23.50046,    23.50046,    30.09758,        0.75,           2,         Inf,   0.2436668,         Inf,   0.2436668,    24.38871
        1903,      297.29,f_d13c_lin,f_gstar_f1980,    9.923678,    12.38469,    16.79533,    29.00749,    23.52024,    23.52024,    30.12291,        0.75,           2,         Inf,   0.2436632,         Inf,   0.2436632,    24.38872
