"","wind","Tair","VPD","pressure","precip","PPFD"
"1901",2.05063146084791,25.2303100585938,2.02287056866615,89.8925546875,39.1000022888184,997.532734680176
"1902",1.63141271125568,25.2569213867188,2.06833360642274,89.8918515625,43.8932800292969,997.532734680176
"1903",1.47966782639187,25.5262084960938,2.12741170996555,90.022609375,30.3940849304199,997.532734680176
"1904",1.47756971205567,25.1440368652344,1.98173455679219,89.9152265625,38.6920967102051,997.532734680176
"1905",1.74455558570134,25.3435913085938,2.06609011546688,89.9984609375,29.4999961853027,997.532734680176
"1906",2.05063146084791,25.4075256347656,2.06834946505219,89.8925546875,30.6895198822021,997.532734680176
"1907",1.74455558570134,25.5234924316406,2.12797569751061,89.9984609375,9.89408111572266,997.532734680176
"1908",1.42483588360604,24.9865661621094,2.05219526801929,89.9316015625,57.0485191345215,997.532734680176
"1909",1.45109493386596,24.8174682617188,2.0470782198838,89.9364140625,27.7854347229004,997.532734680176
"1910",2.05063146084791,24.680078125,1.9725434200505,89.8925546875,26.4999980926514,997.532734680176
"1911",1.74455558570134,25.3310791015625,2.03941932220419,89.9984609375,55.0964775085449,997.532734680176
"1912",1.47756971205567,24.39296875,1.94052682613923,89.9152265625,25.0000076293945,997.532734680176
"1913",1.45109493386596,24.9628234863281,2.00987492366817,89.9364140625,20.1293525695801,997.532734680176
"1914",2.41480841734997,25.1830688476563,2.11300748560551,89.940609375,19.8922996520996,997.532734680176
"1915",1.42516449059798,25.0917297363281,1.9962097610694,89.850359375,20.9435520172119,997.532734680176
"1916",1.47756971205567,24.7821594238281,1.97574129349524,89.9152265625,2.058030128479,997.532734680176
"1917",1.63141271125568,25.2224365234375,2.0652555911728,89.8918515625,46.8848075866699,997.532734680176
"1918",2.41480841734997,26.0861755371094,2.244491958674,89.940609375,28.2959842681885,997.532734680176
"1919",1.30894227221327,24.8471923828125,2.01413831051952,89.9916484375,39.8907699584961,997.532734680176
"1920",1.47756971205567,24.7266174316406,1.99584936181425,89.9152265625,13.8279466629028,997.532734680176
"1921",1.30894227221327,24.9343505859375,1.99754398209754,89.9916484375,28.9799900054932,997.532734680176
"1922",1.63141271125568,25.3257080078125,2.0995318377102,89.8918515625,60.200008392334,997.532734680176
"1923",2.41480841734997,26.1340576171875,2.26870103927595,89.940609375,33.9899864196777,997.532734680176
"1924",1.42483588360604,25.4489379882813,2.07593668215389,89.9316015625,14.6565542221069,997.532734680176
"1925",1.74455558570134,25.2754760742188,2.11253969893729,89.9984609375,83.5000076293945,997.532734680176
"1926",1.63141271125568,25.5990234375,2.14615332967231,89.8918515625,24.9546947479248,997.532734680176
"1927",2.41480841734997,26.3056884765625,2.28028750558284,89.940609375,23.2874546051025,997.532734680176
"1928",1.47756971205567,26.2135864257813,2.19308346171553,89.9152265625,24.4886932373047,997.532734680176
"1929",1.42516449059798,25.1976867675781,2.02020575872064,89.850359375,61.2517890930176,997.532734680176
"1930",1.30894227221327,24.6835876464844,1.92722369258685,89.9916484375,90.7000122070312,997.532734680176
"1931",1.45109493386596,25.26748046875,2.0176131294684,89.9364140625,21.7923965454102,997.532734680176
"1932",1.42483588360604,24.9456726074219,2.03592343853584,89.9316015625,36.4000015258789,997.532734680176
"1933",1.30894227221327,25.1793762207031,2.00422993227143,89.9916484375,47.0599784851074,997.532734680176
"1934",2.05063146084791,25.1089416503906,2.01177777613928,89.8925546875,15.0000019073486,997.532734680176
"1935",1.74455558570134,25.7645812988281,2.09438376036183,89.9984609375,14.8759431838989,997.532734680176
"1936",1.47756971205567,24.5470520019531,1.92027347592582,89.9152265625,62.4620628356934,997.532734680176
"1937",1.45109493386596,25.2493530273438,1.97484989490272,89.9364140625,26.3000030517578,997.532734680176
"1938",1.47966782639187,26.2221923828125,2.22422758658271,90.022609375,5.55395078659058,997.532734680176
"1939",1.74455558570134,25.1511779785156,2.06792298879278,89.9984609375,55.3999977111816,997.532734680176
"1940",1.42483588360604,25.1974731445313,2.116044988009,89.9316015625,64.5898056030273,997.532734680176
"1941",1.45109493386596,24.9738708496094,2.05615134982185,89.9364140625,46.0999984741211,997.532734680176
"1942",1.30894227221327,24.9855285644531,2.03450307175285,89.9916484375,16.3999996185303,997.532734680176
"1943",1.63141271125568,26.1010070800781,2.18683037567458,89.8918515625,16.5999984741211,996.503672790527
"1944",1.47756971205567,25.13515625,2.03658677416772,89.9152265625,39.0337104797363,989.674108886719
"1945",1.63141271125568,26.4279724121094,2.26773120617103,89.8918515625,26.442798614502,993.796884155273
"1946",2.05063146084791,25.6185852050781,2.12343819611447,89.8925546875,18.2592945098877,993.796989440918
"1947",1.42516449059798,25.9438110351563,2.11731099074506,89.850359375,39.2965698242188,989.666317749023
"1948",1.47756971205567,25.6809326171875,2.16299448230317,89.9152265625,16.7552757263184,997.532734680176
"1949",2.41480841734997,26.8871398925781,2.33657441715765,89.940609375,51,997.908604431152
"1950",1.47966782639187,26.3036437988281,2.18649112921001,90.022609375,16.3758544921875,994.805204772949
"1951",2.41480841734997,26.1144348144531,2.27476789500834,89.940609375,26.0857791900635,1005.19616088867
"1952",1.47756971205567,25.2888427734375,2.05488287402621,89.9152265625,56.5935897827148,1007.56129760742
"1953",2.41480841734997,26.1997619628906,2.26357560441636,89.940609375,46.2000045776367,990.806245422363
"1954",1.45109493386596,24.8587280273438,2.09132051309339,89.9364140625,21.6239318847656,996.970193481445
"1955",1.63141271125568,26.0410400390625,2.17749746339797,89.8918515625,32.7717399597168,996.266885375976
"1956",1.47756971205567,24.9121948242188,2.08022855454635,89.9152265625,35.0903739929199,987.44794921875
